date,username,time,task,computer,stimfile
05/02/2023,gru,02-May-2023 19:27:18,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim01.mat
05/02/2023,gru,02-May-2023 19:33:13,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim02.mat
05/02/2023,gru,02-May-2023 19:39:02,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim03.mat
05/02/2023,gru,02-May-2023 19:44:35,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim04.mat
05/02/2023,gru,02-May-2023 19:50:24,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim05.mat
05/02/2023,gru,02-May-2023 19:56:08,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim06.mat
05/02/2023,gru,02-May-2023 20:01:14,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim07.mat
05/02/2023,gru,02-May-2023 20:06:07,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim08.mat
05/02/2023,gru,02-May-2023 20:11:07,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim09.mat
05/02/2023,gru,02-May-2023 20:16:08,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim10.mat
05/02/2023,gru,02-May-2023 20:22:40,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim11.mat
05/02/2023,gru,02-May-2023 20:27:55,fourPatchAtt.m,oban.stanford.edu,~/data/fourPatchAtt/s801/230502_stim12.mat
05/02/2023,gru,02-May-2023 20:36:16,fourPatchAtt.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/230502_stim13_aborted0001.mat
05/02/2023,gru,02-May-2023 20:38:38,dotAttWM.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/230502_stim13_aborted0002.mat
